provinsi,spklu_2024,spklu_2030,rasio_tumbuh,cluster,cluster_nama
DKI Jakarta,520,32589,62.7,0,Episentrum
Jawa Barat,821,6467,7.9,0,Episentrum
Jawa Timur,155,5143,33.2,0,Episentrum
Jawa Tengah,216,2988,13.8,0,Episentrum
Bali,263,2681,10.2,0,Episentrum
Sumatera Utara,136,1672,12.3,0,Episentrum
Banten,188,1519,8.1,0,Episentrum
DI Yogyakarta,33,1929,58.5,1,Pertumbuhan Tinggi
Sulawesi Selatan,79,1255,15.9,1,Pertumbuhan Tinggi
Kalimantan Timur,91,769,8.5,1,Pertumbuhan Tinggi
Sumatera Selatan,100,575,5.8,1,Pertumbuhan Tinggi
Kalimantan Selatan,32,556,17.4,1,Pertumbuhan Tinggi
Kalimantan Barat,42,462,11.0,1,Pertumbuhan Tinggi
Lampung,57,450,7.9,1,Pertumbuhan Tinggi
Sumatera Barat,39,438,11.2,1,Pertumbuhan Tinggi
Riau,36,396,11.0,1,Pertumbuhan Tinggi
Nusa Tenggara Barat,27,352,13.0,1,Pertumbuhan Tinggi
Sulawesi Utara,32,320,10.0,1,Pertumbuhan Tinggi
Kepulauan Riau,7,542,77.4,2,Menengah
Jambi,16,238,14.9,2,Menengah
Kepulauan Bangka Belitung,24,207,8.6,2,Menengah
Aceh,28,188,6.7,2,Menengah
Sulawesi Tenggara,32,157,4.9,2,Menengah
Gorontalo,20,124,6.2,2,Menengah
Bengkulu,16,120,7.5,2,Menengah
Maluku Utara,16,118,7.4,2,Menengah
Maluku,27,114,4.2,2,Menengah
Sulawesi Tengah,32,111,3.5,2,Menengah
Nusa Tenggara Timur,24,109,4.5,2,Menengah
Papua,17,85,5.0,2,Menengah
Kalimantan Tengah,24,75,3.1,2,Menengah
Papua Barat,13,68,5.2,2,Menengah
Kalimantan Utara,3,95,31.7,3,Rendah
Sulawesi Barat,3,21,7.0,3,Rendah
